paper_id-input,sample_id-input,page_number-input,input_image_location-input,section_instruction-input,context-input,input_text_parsed-input,explanation-output,final_answer-output,final_answer_range-output,category-input
1525a034-b4d4-5fa1-b3cf-fd017d396ff8,q81,,['q81_0.png'],,NO_CONTEXT,,,,,
1525a034-b4d4-5fa1-b3cf-fd017d396ff8,q82,,['q82_0.png'],,NO_CONTEXT,,,,,
1525a034-b4d4-5fa1-b3cf-fd017d396ff8,q83,,['q83_0.png'],,NO_CONTEXT,,,,,
1525a034-b4d4-5fa1-b3cf-fd017d396ff8,q84,,['q84_0.png'],,NO_CONTEXT,,,,,
1525a034-b4d4-5fa1-b3cf-fd017d396ff8,q85,,['q85_0.png'],,NO_CONTEXT,,,,,
1525a034-b4d4-5fa1-b3cf-fd017d396ff8,q86,,['q86_0.png'],,NO_CONTEXT,,,,,
1525a034-b4d4-5fa1-b3cf-fd017d396ff8,q87,,['q87_0.png'],,NO_CONTEXT,,,,,
1525a034-b4d4-5fa1-b3cf-fd017d396ff8,q88,,['q88_0.png'],,NO_CONTEXT,,,,,
1525a034-b4d4-5fa1-b3cf-fd017d396ff8,q89,,['q89_0.png'],,NO_CONTEXT,,,,,
1525a034-b4d4-5fa1-b3cf-fd017d396ff8,q90,,['q90_0.png'],,NO_CONTEXT,,,,,
1525a034-b4d4-5fa1-b3cf-fd017d396ff8,q91,,['q91_0.png'],,NO_CONTEXT,,,,,
1525a034-b4d4-5fa1-b3cf-fd017d396ff8,q92,,['q92_0.png'],,NO_CONTEXT,,,,,
1525a034-b4d4-5fa1-b3cf-fd017d396ff8,q93,,['q93_0.png'],,NO_CONTEXT,,,,,
1525a034-b4d4-5fa1-b3cf-fd017d396ff8,q94,,['q94_0.png'],,NO_CONTEXT,,,,,
1525a034-b4d4-5fa1-b3cf-fd017d396ff8,q95,,['q95_0.png'],,NO_CONTEXT,,,,,
1525a034-b4d4-5fa1-b3cf-fd017d396ff8,q96,,['q96_0.png'],,NO_CONTEXT,,,,,
1525a034-b4d4-5fa1-b3cf-fd017d396ff8,q97,,['q97_0.png'],,NO_CONTEXT,,,,,
1525a034-b4d4-5fa1-b3cf-fd017d396ff8,q98,,['q98_0.png'],,NO_CONTEXT,,,,,
1525a034-b4d4-5fa1-b3cf-fd017d396ff8,q99,,['q99_0.png'],,NO_CONTEXT,,,,,
1525a034-b4d4-5fa1-b3cf-fd017d396ff8,q100,,['q100_0.png'],,NO_CONTEXT,,,,,
